match_id,point_id,match_date,surface,tournament,round,point_number,shot_index,shot_number_bucket,rally_length_so_far,score_state,set_score,game_score,server,returner,hitter,opponent,hitter_hand,opponent_hand,hitter_is_server,serve_number,serve_direction,serve_outcome,active_string,previous_shot_code,previous_shot_family,previous_shot_direction,previous_shot_target_side,previous_shot_depth,previous_net_state,incoming_wing_proxy,current_raw_code,current_family,current_stroke_type,current_spin,current_direction,current_target_side,current_depth,current_net_state,current_position_flag,approach,net_cord,stop_volley,ending,error_type,point_winner,point_win,side_proxy,side_proxy_confidence,action,action_dtl,context_name
20220101-M-ATP_Cup-RR-Aristotelis_Thanos-Hubert_Hurkacz,20220101-M-ATP_Cup-RR-Aristotelis_Thanos-Hubert_Hurkacz:11,2022-01-01,Hard,ATP Cup,RR,11,5,4-5,4,40-15,0-0,0-1,Hubert Hurkacz,Aristotelis Thanos,Hubert Hurkacz,Aristotelis Thanos,R,R,1,2,6,in_play,6b27f29f17f19f28b28s+39b37*,f,FH,1.0,deuce,7.0,baseline,forehand,f,FH,forehand,DRIVE,1.0,deuce,9.0,baseline,,False,False,False,,,Hubert Hurkacz,1,deuce,high,CC,0,fifth_shot_forehand_direction
20220101-M-ATP_Cup-RR-Aristotelis_Thanos-Hubert_Hurkacz,20220101-M-ATP_Cup-RR-Aristotelis_Thanos-Hubert_Hurkacz:82,2022-01-01,Hard,ATP Cup,RR,82,5,4-5,4,0-0,0-1,2-5,Aristotelis Thanos,Hubert Hurkacz,Aristotelis Thanos,Hubert Hurkacz,R,R,1,1,5,in_play,5b29b28f18f18f17f29f39s28f18f29b38s2n@,f,FH,1.0,deuce,8.0,baseline,forehand,f,FH,forehand,DRIVE,1.0,deuce,8.0,baseline,,False,False,False,,,Hubert Hurkacz,0,deuce,high,CC,0,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:17,2022-01-03,Hard,ATP Cup,RR,17,5,4-5,4,0-0,0-0,2-1,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,R,R,1,2,5,in_play,5f29b27f19f18f3n@,f,FH,1.0,deuce,9.0,baseline,forehand,f,FH,forehand,DRIVE,1.0,deuce,8.0,baseline,,False,False,False,,,Aleksandre Metreveli,1,deuce,high,CC,0,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:29,2022-01-03,Hard,ATP Cup,RR,29,5,4-5,4,0-15,0-0,3-2,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,R,R,1,1,6,in_play,6f37f38b18f18f29b2n@,b,BH,1.0,deuce,8.0,baseline,forehand,f,FH,forehand,DRIVE,1.0,deuce,8.0,baseline,,False,False,False,,,Hubert Hurkacz,0,deuce,high,CC,0,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:41,2022-01-03,Hard,ATP Cup,RR,41,5,4-5,4,15-0,0-0,4-3,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,R,R,1,2,5,in_play,5b39f28f18f3n#,f,FH,1.0,deuce,8.0,baseline,forehand,f,FH,forehand,DRIVE,3.0,ad,,baseline,,False,False,False,forced_error,n,Hubert Hurkacz,0,deuce,high,DTL,1,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:44,2022-01-03,Hard,ATP Cup,RR,44,5,4-5,4,30-30,0-0,4-3,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,R,R,1,2,6,in_play,6b39b38f19f1w#,f,FH,1.0,deuce,9.0,baseline,forehand,f,FH,forehand,DRIVE,1.0,deuce,,baseline,,False,False,False,forced_error,w,Hubert Hurkacz,0,deuce,high,CC,0,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:50,2022-01-03,Hard,ATP Cup,RR,50,5,4-5,4,40-40,0-0,4-3,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,R,R,1,2,5,in_play,5b38b28f19f19f39b28b38b38b38b38b39b29f39b2d@,f,FH,1.0,deuce,9.0,baseline,forehand,f,FH,forehand,DRIVE,1.0,deuce,9.0,baseline,,False,False,False,,,Hubert Hurkacz,0,deuce,high,CC,0,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:57,2022-01-03,Hard,ATP Cup,RR,57,5,4-5,4,40-0,0-0,4-4,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,R,R,1,2,5,in_play,5f28f18f17f39s39b28y17u-37*,f,FH,1.0,deuce,7.0,baseline,forehand,f,FH,forehand,DRIVE,3.0,ad,9.0,baseline,,False,False,False,,,Hubert Hurkacz,1,deuce,high,DTL,1,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:58,2022-01-03,Hard,ATP Cup,RR,58,5,4-5,4,0-0,0-0,5-4,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,R,R,1,2,6,in_play,6b38b28f19f18f18f19f3d@,f,FH,1.0,deuce,9.0,baseline,forehand,f,FH,forehand,DRIVE,1.0,deuce,8.0,baseline,,False,False,False,,,Aleksandre Metreveli,1,deuce,high,CC,0,fifth_shot_forehand_direction
20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli,20220103-M-ATP_Cup-RR-Hubert_Hurkacz-Aleksandre_Metreveli:65,2022-01-03,Hard,ATP Cup,RR,65,5,4-5,4,30-0,0-0,5-5,Hubert Hurkacz,Aleksandre Metreveli,Hubert Hurkacz,Aleksandre Metreveli,R,R,1,2,6,in_play,6b29f19f18f3d@,f,FH,1.0,deuce,8.0,baseline,forehand,f,FH,forehand,DRIVE,3.0,ad,,baseline,,False,False,False,unforced_error,d,Aleksandre Metreveli,0,deuce,high,DTL,1,fifth_shot_forehand_direction
