side_proxy,hitter,sample_size,dtl_rate,point_win_rate
deuce,Hubert Hurkacz,567,0.5044091710758377,0.47619047619047616
deuce,Daniil Medvedev,548,0.3704379562043796,0.5328467153284672
deuce,Jannik Sinner,454,0.3303964757709251,0.5330396475770925
deuce,Carlos Alcaraz,314,0.37898089171974525,0.5159235668789809
deuce,Novak Djokovic,271,0.36900369003690037,0.5940959409594095
deuce,Andrey Rublev,245,0.3224489795918367,0.4857142857142857
deuce,Alexander Zverev,220,0.2909090909090909,0.4772727272727273
deuce,Tommy Paul,208,0.38461538461538464,0.5144230769230769
ad,Adrian Mannarino,203,0.15763546798029557,0.4876847290640394
deuce,Alex De Minaur,197,0.3197969543147208,0.5126903553299492
deuce,Stefanos Tsitsipas,188,0.3670212765957447,0.5053191489361702
ad,Rafael Nadal,186,0.14516129032258066,0.5806451612903226
deuce,Taylor Fritz,182,0.34065934065934067,0.489010989010989
deuce,Casper Ruud,177,0.384180790960452,0.4406779661016949
deuce,Grigor Dimitrov,167,0.4491017964071856,0.48502994011976047
deuce,Botic Van De Zandschulp,156,0.33974358974358976,0.4807692307692308
deuce,Tallon Griekspoor,156,0.2948717948717949,0.4358974358974359
deuce,Emil Ruusuvuori,144,0.4375,0.5347222222222222
deuce,Lorenzo Musetti,143,0.3986013986013986,0.5314685314685315
deuce,Sebastian Korda,137,0.34306569343065696,0.45255474452554745
deuce,Dominic Thiem,121,0.33884297520661155,0.5537190082644629
deuce,Andy Murray,118,0.4322033898305085,0.5084745762711864
deuce,Karen Khachanov,112,0.5625,0.42857142857142855
deuce,Frances Tiafoe,105,0.3523809523809524,0.5428571428571428
deuce,Felix Auger Aliassime,104,0.3942307692307692,0.47115384615384615
deuce,Jiri Lehecka,101,0.33663366336633666,0.48514851485148514
deuce,Gael Monfils,97,0.41237113402061853,0.5567010309278351
deuce,Miomir Kecmanovic,93,0.3333333333333333,0.46236559139784944
deuce,Stan Wawrinka,93,0.3870967741935484,0.46236559139784944
ad,Ugo Humbert,93,0.26881720430107525,0.44086021505376344
ad,Alex Molcan,90,0.23333333333333334,0.4777777777777778
ad,Yoshihito Nishioka,90,0.32222222222222224,0.4444444444444444
