hitter,side_proxy,sample_size,observed_dtl_pct,recommended_dtl_pct,observed_cc_pct,recommended_cc_pct,estimated_uplift,uplift_ci_low,uplift_ci_high,average_regret,mean_q_cc,mean_q_dtl,mean_min_propensity,support_label
Jannik Sinner,deuce,201,0.3283582089552239,0.4985862480581342,0.6716417910447762,0.5014137519418658,8.494001676708238e-05,0.0,0.0002445973273728658,0.00012111596220039565,0.4746742219973888,0.4745531060351884,0.32964703050068445,high support
Hubert Hurkacz,deuce,166,0.608433734939759,0.4964553893471325,0.39156626506024095,0.5035446106528675,0.00020574450764432786,7.343957604734147e-06,0.0005357746670157866,0.00029408568783459665,0.4772826650162078,0.47697677866177945,0.41756429011602697,high support
Daniil Medvedev,deuce,147,0.3401360544217687,0.4866785318865879,0.6598639455782312,0.5133214681134121,0.00012046417519498703,-0.0002170154969126072,0.0005744250522610018,0.00042850405662197015,0.47934281723841016,0.47818489737793696,0.34749870019456486,high support
Alexander Zverev,deuce,141,0.2624113475177305,0.4971695256528733,0.7375886524822695,0.5028304743471267,-7.415281616053898e-05,-0.0001735301871479171,-5.5698269705451e-06,1.3892983365694214e-05,0.46972051273482707,0.46948855526561345,0.36384901312087814,high support
Novak Djokovic,deuce,98,0.3877551020408163,0.4874256459126815,0.6122448979591837,0.5125743540873184,-0.0001227243243992799,-0.000282467647888699,0.0,0.0,0.5492243248084889,0.5477564043186286,0.34148879735421855,high support
Carlos Alcaraz,deuce,96,0.3333333333333333,0.48584876398607824,0.6666666666666666,0.5141512360139218,0.00012804706299688698,-0.00030543165161172416,0.0007256449078439588,0.00046771252991059664,0.4798644746846444,0.47863949769143005,0.3756764315448104,high support
Taylor Fritz,deuce,86,0.38372093023255816,0.4991465060539868,0.6162790697674418,0.5008534939460132,-9.717097049055656e-06,-5.4158546526776565e-05,3.583896468496491e-05,2.2778030867010284e-05,0.47713185153360393,0.477063517441003,0.30295263454052196,high support
Andrey Rublev,deuce,85,0.29411764705882354,0.4905980114196014,0.7058823529411765,0.5094019885803986,-0.00017910116039733116,-0.00043008994572891357,1.9503810519420145e-05,4.609201540147963e-05,0.4712516916949994,0.47043704803295594,0.37756248239206874,high support
Tommy Paul,deuce,79,0.4430379746835443,0.48494935627325914,0.5569620253164557,0.5150506437267408,0.00026675427596126704,-0.0003647327810177449,0.0012547061027516151,0.000527426160337553,0.5045672471006485,0.5030760486796184,0.3535475654540285,high support
Adrian Mannarino,ad,74,0.14864864864864866,0.48778003282369603,0.8513513513513513,0.5122199671763039,-0.00022275261026556353,-0.0005124091034542261,-1.8567598991680306e-05,0.0,0.4824040894693068,0.48123426420527876,0.1674975871678774,moderate support
Nishesh Basavareddy,deuce,71,0.2535211267605634,0.5,0.7464788732394366,0.5,0.0,0.0,0.0,0.0,0.47813322812302184,0.47813322812302184,0.37083276501655893,moderate support
Casper Ruud,deuce,70,0.4142857142857143,0.48963187785747503,0.5857142857142857,0.510368122142525,0.0003799236182105307,-7.726158616535504e-05,0.0011429630109397143,0.0006134498888122057,0.4583706041677057,0.4574653473204199,0.35505274974079154,high support
Jakub Mensik,deuce,65,0.4153846153846154,0.4936416605193749,0.5846153846153846,0.506358339480625,6.027897967487193e-05,-0.00018674371679738798,0.000360107781780145,0.0002254842221065978,0.4732267533604995,0.4726870154908059,0.3748141021762622,high support
Grigor Dimitrov,deuce,63,0.5555555555555556,0.48380998041008333,0.4444444444444444,0.5161900195899166,0.0002891758143439904,-0.00030479956931103594,0.0011037117971071236,0.0006650354476441422,0.46159071525991247,0.46018188118487185,0.37800974785028585,high support
Lorenzo Musetti,deuce,60,0.4666666666666667,0.48037973912855847,0.5333333333333333,0.5196202608714415,0.00020890359370634621,-0.00036461759701807985,0.0009611769625142875,0.0006593406593406588,0.4789280097251112,0.4772233071991527,0.3898092818712424,high support
Gael Monfils,deuce,60,0.38333333333333336,0.5,0.6166666666666667,0.5,0.0,0.0,0.0,0.0,0.47470559790004235,0.47470559790004235,0.38315679647819867,high support
Tallon Griekspoor,deuce,59,0.3559322033898305,0.4958428977748603,0.6440677966101694,0.5041571022251398,0.00027121156191789827,0.0,0.0008136346857536949,0.00036391095099029146,0.43898082411961065,0.43861691316862034,0.25205273241940535,high support
Alex De Minaur,deuce,59,0.3050847457627119,0.5,0.6949152542372882,0.5,0.0,0.0,0.0,0.0,0.4815633089582979,0.4815633089582979,0.33393288575347396,moderate support
Botic Van De Zandschulp,deuce,57,0.3508771929824561,0.5,0.6491228070175439,0.5,0.0,0.0,0.0,0.0,0.47234343473855295,0.47234343473855295,0.3280993593184901,high support
Stefanos Tsitsipas,deuce,57,0.2807017543859649,0.49957075743066004,0.7192982456140351,0.50042924256934,-1.6342578951939595e-05,-4.902773685581878e-05,0.0,0.0,0.47357430075457024,0.4735399339009814,0.42346292973527444,moderate support
Alex Michelsen,deuce,51,0.5882352941176471,0.49904051660971066,0.4117647058823529,0.5009594833902894,4.0289555070679504e-05,0.0,0.00010072388767669877,7.682002566913271e-05,0.4777180330746685,0.4776412130489993,0.39020356245420257,high support
Sebastian Korda,deuce,51,0.27450980392156865,0.49964440119796294,0.7254901960784313,0.5003555988020371,-1.3714050147495271e-05,-4.1142150442485814e-05,0.0,0.0,0.48576359056175966,0.48573513017247033,0.3512019631748903,moderate support
Jiri Lehecka,deuce,51,0.35294117647058826,0.48942212322605405,0.6470588235294118,0.510577876773946,-0.0001741913843517204,-0.00051605757102066,6.0434332606019256e-05,7.682002566913271e-05,0.4737727167110515,0.47285390664191457,0.3041614103089709,moderate support
Ugo Humbert,ad,50,0.28,0.471538293736659,0.72,0.528461706263341,-7.279129506441495e-05,-0.0006605779266154484,0.0007727047688068016,0.0004294149221685439,0.4733142702707919,0.4704815184042524,0.23118099370342876,moderate support
Alexei Popyrin,deuce,48,0.3125,0.4864117647711033,0.6875,0.5135882352288966,-4.292319893225982e-05,-0.0004986951952048596,0.0005548883976121202,0.0002795278433393768,0.46120850314429535,0.4600343608797715,0.37156394633471007,moderate support
Arthur Fils,deuce,45,0.28888888888888886,0.4955690116538335,0.7111111111111111,0.5044309883461665,-0.00014912471990801023,-0.0003711809605333247,-6.263361107637798e-06,0.0,0.47363872213049596,0.4732796234521283,0.3897314964526914,moderate support
Frances Tiafoe,deuce,41,0.2682926829268293,0.4944172553681301,0.7317073170731707,0.5055827446318699,0.0003516501082369344,0.0,0.0010549503247108032,0.0004824443848834089,0.4925377468060395,0.492055302421156,0.3583659168246198,moderate support
Ben Shelton,ad,40,0.45,0.5,0.55,0.5,0.0,0.0,0.0,0.0,0.4588919038556719,0.4588919038556719,0.38801045897487185,moderate support
Cameron Norrie,ad,38,0.3684210526315789,0.4623097236063554,0.631578947368421,0.5376902763936445,0.0006688620186179401,-0.0005512528235597672,0.0034925051587111934,0.001096491228070176,0.5200584503216084,0.5157675235358726,0.26117685528457507,moderate support
Emil Ruusuvuori,deuce,38,0.5526315789473685,0.49935613614599,0.4473684210526316,0.5006438638540099,2.7036411955324403e-05,0.0,8.110923586597321e-05,5.1550280383233794e-05,0.485919838770716,0.4858682884903327,0.3743125491505907,moderate support
Tomas Machac,deuce,38,0.4473684210526316,0.5,0.5526315789473685,0.5,0.0,0.0,0.0,0.0,0.4657416361077688,0.4657416361077688,0.3682008564970399,moderate support
Juncheng Shang,ad,36,0.25,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.4700314565854018,0.4700314565854018,0.2837693882063382,low support
Karen Khachanov,deuce,36,0.5277777777777778,0.5,0.4722222222222222,0.5,0.0,0.0,0.0,0.0,0.41650022459201197,0.41650022459201197,0.38720595509903943,moderate support
David Goffin,deuce,35,0.42857142857142855,0.4855723901386889,0.5714285714285714,0.5144276098613111,-0.00028143403807267777,-0.00077784039797038,5.8707637388704424e-05,5.596887584465384e-05,0.4869218045201481,0.485668771838544,0.4129061382754619,moderate support
Matteo Arnaldi,deuce,32,0.53125,0.490806166119125,0.46875,0.509193833880875,0.0005642577956800204,0.0,0.0015964561694492181,0.0007933927317985302,0.46367774904912584,0.46288435631732733,0.41761549541054704,moderate support
Miomir Kecmanovic,deuce,32,0.46875,0.4984708233467263,0.53125,0.5015291766532737,2.995520438805327e-06,-5.8220437516284806e-05,9.631721759084319e-05,6.121595795509013e-05,0.443028460736794,0.44290602882088387,0.3270675795552169,moderate support
Rafael Nadal,ad,32,0.03125,0.4806823371270531,0.96875,0.5193176628729469,-0.0003117563622298189,-0.0007910928914129332,0.0,0.0,0.49011015026640026,0.488189935064935,0.1810678633097328,low support
Stan Wawrinka,deuce,31,0.3870967741935484,0.5,0.6129032258064516,0.5,0.0,0.0,0.0,0.0,0.45895034441083976,0.45895034441083976,0.3798700887441473,moderate support
Fabian Marozsan,deuce,30,0.43333333333333335,0.47582917260191887,0.5666666666666667,0.5241708273980811,0.0008094825562150983,-0.00036461759701807985,0.002248530911685262,0.0013782996252635793,0.4597545771319757,0.45766058596976456,0.38661152463240006,moderate support
Jordan Thompson,deuce,29,0.4827586206896552,0.5,0.5172413793103449,0.5,0.0,0.0,0.0,0.0,0.4729169677195664,0.4729169677195664,0.3910715812366155,moderate support
Jack Draper,ad,29,0.41379310344827586,0.4906987635263579,0.5862068965517241,0.5093012364736421,-0.00022071692950109497,-0.0006621507885032849,0.0,0.0,0.45361946621316923,0.4528115470144455,0.36970377829915785,moderate support
Holger Rune,deuce,26,0.4230769230769231,0.48146517923545,0.5769230769230769,0.5185348207645499,0.0003694347388058751,-0.0004476334953414214,0.0017340051351394368,0.0007899597340114631,0.47039188635934936,0.46877612869809077,0.3724494159113937,moderate support
Felix Auger Aliassime,deuce,26,0.23076923076923078,0.5,0.7692307692307693,0.5,0.0,0.0,0.0,0.0,0.47658003873165516,0.47658003873165516,0.3953852682408654,low support
Jan Lennard Struff,deuce,26,0.11538461538461539,0.5,0.8846153846153846,0.5,0.0,0.0,0.0,0.0,0.46952658390785484,0.46952658390785484,0.37102009864568813,low support
Sebastian Baez,deuce,26,0.38461538461538464,0.4909526735611437,0.6153846153846154,0.5090473264388563,-0.00020801196275287896,-0.0008320478510115159,0.0,0.0,0.4609722186645263,0.4601865845455589,0.3126860392529709,moderate support
Luca Van Assche,deuce,25,0.36,0.4793998044392454,0.64,0.5206001955607547,0.001321213918424573,0.0,0.0032629668335436408,0.001796016114856691,0.4789691682445305,0.47717315212967376,0.33614075548912603,low support
Alexander Bublik,deuce,25,0.28,0.5,0.72,0.5,0.0,0.0,0.0,0.0,0.47726224392891053,0.47726224392891053,0.34238600179728196,low support
Joao Fonseca,deuce,25,0.28,0.5,0.72,0.5,0.0,0.0,0.0,0.0,0.4802197802197801,0.4802197802197801,0.3714960585192932,low support
